id,name,addr1addr2addr3,,phone1-phone2,
001,中野医院,北海道札幌市厚別区青葉町6丁目1-5,,011-891-1555,1:2:3:4:5:6:7:8:9:10:11:12
002,医療法人社団  青葉産婦人科クリニック,北海道札幌市厚別区青葉町6丁目1-9,,011-893-3207,8
003,勇気会医療法人  北央病院,北海道札幌市厚別区青葉町11丁目2-10,,011-892-8531,6:7:8:9:12
004,森林公園センタークリニック,北海道札幌市厚別区厚別北2条5丁目1-12,  森林公園パークタウンセンタービル2階,011-893-0008,1:2:3:4:5:6:7:9:10:11:12
005,医療法人社団桐佑会   札幌藤島クリニック,北海道札幌市厚別区厚別北4条4丁目1-8,,011-801-7707,1:2:3:4:5:6:7:8:9:10:11:12
006,そらいろこどもクリニック,北海道札幌市厚別区厚別北5条5丁目1-7,,011-375-8807,1:2:3:4:5:6:7:8:9:10:11:12
007,たけい内科胃腸科クリニック,北海道札幌市厚別区厚別中央1条3丁目5-1,,011-891-2707,1:2:3:6
008,新札幌耳鼻咽喉科医院,北海道札幌市厚別区厚別中央1条6丁目2-15,  新札幌センタービル2階,011-893-1133,10:11
009,新札幌内科クリニック,北海道札幌市厚別区厚別中央1条6丁目3-1, ホクノー新札幌ビル3階,011-895-7074,8
010,医療法人社団育悠会  新札幌こども発達クリニック,北海道札幌市厚別区厚別中央1条6丁目3-1,,011-893-1511,1:3:4:5:6:7:8
011,医療法人社団  はしもとクリニック,北海道札幌市厚別区厚別中央2条1丁目4-15,,011-891-2633,8
012,医療法人社団  幸田内科消化器クリニック,北海道札幌市厚別区厚別中央2条5丁目4-1,  新札幌七彩館ビル2階,011-896-3888,3:4:5:8:11
013,医療法人社団恒仁会  新さっぽろ小児科,北海道札幌市厚別区厚別中央2条5丁目6-3, 新さっぽろアークシティデュオⅡ   4F,011-895-8311,1:2:3:4:5:6:7:8:9:10:11:12
014,独立行政法人地域医療機能推進機構   JCHO札幌北辰病院,北海道札幌市厚別区厚別中央2条6丁目2-1,,011-893-3000,1:2:3:4:5:6:7:8:9:10:11:12
015,医療法人潤和会  札幌ひばりが丘病院,北海道札幌市厚別区厚別中央3条2丁目12-1,,011-894-7070,8
016,中川内科循環器科,北海道札幌市厚別区厚別中央4条2丁目18-20,,011-891-2943,3:8:11
017,社会福祉法人楡の会  こどもクリニック,北海道札幌市厚別区厚別町下野幌49番地,,011-898-3929,3:4:5:9
018,医療法人社団  育愛こども医院,北海道札幌市厚別区厚別西2条3丁目7-6,,011-893-3323,1:2:3:4:5:6:7:8:9:10:11:12
019,医療法人社団奏健会  さっぽろ厚別通内科,北海道札幌市厚別区厚別西5条1丁目15-21,,011-895-6671,3:4:5:8:11
020,医療法人徹仁会   厚別耳鼻咽喉科,北海道札幌市厚別区厚別西5条1丁目16-22,,011-894-7003,6:7:8
021,もみじ台クリニック,北海道札幌市厚別区厚別東1条5丁目18-15,,011-311-2006,1:2:3:4:5:6:7:8:9:10:11
022,医療法人社団   小野幌医院,北海道札幌市厚別区厚別東4条４丁目5-15,,011-897-8822,9
023,医療法人ＡＭＣ  あおば内科クリニック,北海道札幌市厚別区厚別南7丁目2-11,,011-891-1112,1:2:3:4:5:8:9
024,医療法人徳洲会  札幌徳洲会病院,北海道札幌市厚別区大谷地東1丁目1-1,,011-890-1110,1:2:3:4:5:6:7:8:9:10:11:12
025,医療法人社団  たむら小児科医院,北海道札幌市厚別区大谷地東4丁目1-2, 大谷地ターミナルメディカルビル,011-893-2288,1:2:3:4:5:6:7:8:9:10:11:12
026,医療法人社団  たさき子ども相談診療室,北海道札幌市厚別区大谷地東4丁目2-20,,011-802-2888,1:2:3:4:5:6:7:8:9:10:12
027,医療法人社団  椿原こどもクリニック,北海道札幌市厚別区上野幌2条2丁目3-11,,011-893-7550,1:2:3:4:5:6:7:8:9:10:11:12
028,医療法人社団アカシア会  いたや内科消化器科,北海道札幌市厚別区上野幌3条3丁目2-1,,011-896-2828,6:7:8:11
029,ＳＡＭ   ＣＬＩＮＩＣ,北海道札幌市厚別区上野幌3条6丁目5-6,,011-215-6120,1:2:3:4:5:6:7:8:9:10:11:12
030,医療法人社団  高橋内科医院,北海道札幌市厚別区もみじ台北5丁目1-2,,011-897-2358,3:8
031,医療法人社団恒仁会  くまがい小児科,北海道札幌市厚別区もみじ台西6丁目1-7,,011-897-1118,1:2:3:4:5:6:7:8:9:10:11:12
032,医療法人社団秀和会  いでうち内科医院,北海道札幌市厚別区もみじ台東4丁目2-7,,011-897-0053,1:2:3:4:5:6:7:8:9
033,医療法人社団  増田内科クリニック,北海道札幌市厚別区もみじ台南1丁目2-9,,011-897-9191,3:4:5:9
034,せんば内科医院,北海道札幌市厚別区もみじ台南6丁目1-6,,011-897-6123,3:4:5:6:8:9
035,医療法人トルチュ  氏家記念こどもクリニック,北海道札幌市中央区大通東3丁目1-1, トルチュビル  3階,011-281-2811,1:2:3:4:5:6:7:8:9:10:11:12
036,医療法人社団石史山会  札幌スポーツクリニック,北海道札幌市中央区大通東4丁目1番19号,,011-281-8755,8
037,医療法人社団  清野内科クリニック,北海道札幌市中央区大通西4丁目1,  道銀ビル7階,011-221-2213,8:9
038,まどかレディースクリニック,北海道札幌市中央区大通西5丁目８,   昭和ビル9階,011-231-0080,8
039,中央メディカルクリニック,北海道札幌市中央区大通西5丁目11,  大五ビル1階,011-222-0120,3:4:5:8:9:11:12
040,大通こどもクリニック,北海道札幌市中央区大通西16丁目1-30,   第10FUYOビル  8階,011-215-5103,1:3:4:5:6:7:9:10:11:12
041,塚本循環器ハートクリニック,北海道札幌市中央区大通西17丁目1-27札幌メディケアセンタービル3階,,011-623-4810,11
042,医療法人  むらしたこどもクリニック,北海道札幌市中央区大通西25丁目1-2,  ハートランド円山メディカルビル2階,011-640-7300,1:2:3:4:5:6:7:8:9:10:11:12
043,医療法人社団ゆほな会はやしたくみ女性クリニック,北海道札幌市中央区大通西25丁目1-2,  ハートランド円山メディカルビル3階,011-640-8845,3:8
044,医療法人渓仁会  渓仁会円山クリニック,北海道札幌市中央区大通西26丁目3-16,,011-611-7766,8
045,医療法人社団  円山公園内科,北海道札幌市中央区大通西28丁目3-22,,011-633-0123,3:8:11
046,セントベビークリニック,北海道札幌市中央区北1条西2丁目1,,011-215-0880,8
047,コロンビア内科,北海道札幌市中央区北1条西3丁目3,  時計台スクエアビル4階,011-207-2227,1:2:3:6:7:8:11:12
048,医療法人社団  大通こしやま内科消化器クリニック,北海道札幌市中央区北1条西4丁目1-1,  三甲大通公園ビル1階,011-596-7788,3:5:8
049,エナ大通クリニック,北海道札幌市中央区北1条西4丁目1-1,  三甲大通公園ビル2階,011-241-3000,8
050,円山ため小児科,北海道札幌市中央区北1条西23丁目2-14,  RK円山鳥居前ビル  3階,011-623-5755,1:2:3:4:5:6:7:8:9:10:11:12
051,円山内科消化器クリニック,北海道札幌市中央区北1条西24丁目4-1,  東光ストア円山店5F,011-215-4137,11
052,円山レディースクリニック,北海道札幌市中央区北1条西25丁目24-4,,011-614-0800,4:5:6:7:8:10:11
053,社会医療法人社団カレスサッポロ  時計台記念病院,北海道札幌市中央区北1条東1丁目2-3,,011-251-1221,8
054,社会医療法人社団カレスサッポロ 時計台記念クリニック,北海道札幌市中央区北1条東1丁目2-3,,011-251-2221,8
055,創世内科クリニック,北海道札幌市中央区北1条東3丁目2-2,  シティハウス札幌大通東1階,011-272-7111,3:5:10:11
056,医療法人社団  草薙レディースクリニック,北海道札幌市中央区北2条西1丁目1,  マルイト札幌ビル2階,011-222-9372,8
057,富田内科循環器科クリニック,北海道札幌市中央区北2条西1丁目1,  マルイト札幌ビル2階,011-242-5300,8
058,医療法人社団緑生会  緑の森皮フ科クリニック,北海道札幌市中央区北2条西3丁目,  朝日生命札幌ビル5階,011-221-0002,8
059,医療法人社団  神谷レディースクリニック,北海道札幌市中央区北3条西2丁目2-1,  日通札幌ビル2階,011-231-2722,8
060,医療法人社団  やましな内科クリニック,北海道札幌市中央区北2条西4丁目1-2, 北海道ビルヂング5階,011-241-9074,3:4:5:6:7:8:9:11
061,医療法人沢史会サッポロファクトリーこどもクリニック,北海道札幌市中央区北2条東４丁目1−2,  サッポロファクトリー2条館,011-223−7800,1:2:3:4:5:6:7:8:9:10:11:12
062,医療法人社団  斎藤医院,北海道札幌市中央区北2条東8丁目86,,011-231-5507,1:2:3:4:5:8:9:11
063,石田内科クリニック,北海道札幌市中央区北3条西2丁目,  本田ビル2階,011-222-2706,6:7:8
064,医療法人社団みぶな会  産科・婦人科ひなたクリニック,北海道札幌市中央区北3条西4丁目1-1,  日本生命札幌ビル3階,011-204-8000,8
065,医療法人社団慈昂会  昂希内科クリニック,北海道札幌市中央区北3条西24丁目1-22,,011-611-2711,8:10:11
066,かねし小児科,北海道札幌市中央区北3条西25丁目1-20,,011-612-0345,1:2:3:4:5:6:7:9:10:11:12
067,ＪＲ札幌病院,北海道札幌市中央区北3条東1丁目,,011-208-7150,1:2:3:4:5:6:7:8:9:10:11:12
068,ＪＡ北海道厚生連  札幌厚生病院,北海道札幌市中央区北3条東8丁目5,,011-261-5331,1:3:4:5:6:7:8:9:10:11:12
069,札幌駅前しきしま乳腺外科クリニック,北海道札幌市中央区北4条西3丁目,  駅前合同ビル8階,011-208-6000,8
070,医療法人社団龍櫻会  札幌駅前さくら形成外科,北海道札幌市中央区北4条西3丁目,  駅前合同ビル9階,011-242-1155,8
071,こころメンタルクリニック,北海道札幌市中央区北4条西3丁目1,  札幌駅前合同ビル5階,011-280-5000,8
072,富澤内科クリニック,北海道札幌市中央区北4条西5丁目1,  アスティ45ビル6階,011-205-6181,8:11
