定期の予防接種実施医療機関名簿,,,,,,,,,,,,,,
―東区―,,,,,,,,,,,,,,
※     受付時間、予約の必要性、ワクチンの在庫などについて、事前に医療機関にお問い合わせください。,,,,,,,,,,,,,,
※     ＢＣＧの予防接種は、各区の保健センターで実施しています。,,,,,,,,,,,,,,
※     麻しん、風しんの単独ワクチンを希望される方は、ＭＲの実施医療機関にお問い合わせください。,,,,,,,,,,,,,,
※     日本脳炎ワクチンは平成28年４月１日から接種開始です。,,,,,,,,,,,,,,
※     Ｂ型肝炎ワクチンは平成28年10月１日から接種開始です。,,,,,,,,,,,,,,
医     療     機     関     名,住                                      所,電話番号,四種混合,ポリオ,二種混合,"ＭＲ
（麻しん・風しん混合）",,ヒブ,小児用肺炎球菌,子宮頸がん予防,"水痘
（水ぼうそう）","日本脳炎
（15歳未満）","日本脳炎
（15歳以上）",Ｂ型肝炎
,,,"ジフテリア百日せき
破傷風･ポリオ",,ジフテリア破傷風,,,,,,,,,
,,,,,,第1期,第2期,,,,,,,
医療法人社団田邉医院新生クリニック,北10条東6丁目1-35,741-2688,,,,,,,,,,,○,
医療法人社団  川島医院,北11条東10丁目1-1,711-9965,○,○,○,○,○,○,○,○,○,○,○,○
社会医療法人母恋  天使病院,北12条東3丁目1-1,711-0101,○,○,○,○,○,○,○,○,○,○,○,○
社会医療法人社団カレスサッポロ  よつば家庭医療クリニック,北12条東4丁目1-1,722-7700,○,,○,○,○,○,○,,○,○,○,
医療法人社団  ポプラ小児科医院,北12条東7丁目17 ﾒﾃﾞｨｶﾙｾﾝﾀｰ光星1階,711-7425,○,○,○,○,○,○,○,○,○,○,○,○
光星メディカルクリニック,北12条東7丁目17 ﾒﾃﾞｨｶﾙｾﾝﾀｰ光星2階,704-6887,,,○,,○,○,○,○,,,,
医療法人社団健守会  札幌でむら小児クリニック,北16条東16丁目1-13 北愛ﾒﾃﾞｨｶﾙﾋﾞﾙ3階,781-4115,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団  野沢医院,北17条東1丁目2-25,741-3535,○,○,○,○,○,○,○,○,○,○,○,○
医療法人育愛会  札幌東豊病院,北17条東15丁目3-1,704-3911,○,○,○,○,○,○,○,○,○,○,,○
北18条つじ内科・消化器内科,北18条東1丁目3-3,752-1801,,,,,,,,,,,○,
医療法人社団  谷村医院サンクリニック,北19条東8丁目5-2,731-7226,○,○,,,○,○,○,○,○,,,
美香保医院,北20条東7丁目2-27,711-7787,○,○,○,○,○,○,○,○,○,,,○
医療法人社団  藤田医院,北20条東13丁目1-2,711-8084,○,○,○,○,○,○,○,,○,○,○,○
医療法人社団  石川内科医院,北23条東9丁目1-27,751-2750,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団  明園内科小児科医院,北23条東13丁目1-15,751-0221,○,,○,○,○,,,,○,,,
ふるかわ小児科アレルギー科クリニック,北24条東16丁目1-7グローバリビル,789-5555,○,○,○,○,○,○,○,○,○,○,○,○
元町内科クリニック,北23条東16丁目1-11元町ﾒﾃﾞｨｶﾙﾋﾞﾙ2階,787-6666,,,,,,,,,,,○,
医療法人社団  中村医院,北24条東17丁目1-19,782-1901,,,○,○,○,○,○,○,○,,"○
要予約",
医療法人社団元町こどもの城  元町こどもクリニック,北24条東21丁目5-1 ｸﾞﾘｰﾝﾒﾃﾞｨｶﾙﾓｰﾙ2階,782-2820,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団昭平会  みよか内科クリニック,北24条東21丁目5-1  ｸﾞﾘｰﾝﾒﾃﾞｨｶﾙﾓｰﾙ1階,781-3431,,,,,,,,○,,,,
こころと発達クリニック   えるむの木,北25条東3丁目1-37,733-0087,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団  平澤内科呼吸器科クリニック,北25条東3丁目3-11,711-8297,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団  八田内科,北25条東15丁目4-27,751-2548,,,,,,,,○,,,,
医療法人社団豊生会   元町ひまわり消化器内科・腎透析クリニック,北25条東20丁目7-1,783-5100,○,○,○,○,○,,,○,,,○,
公益財団法人  北海道対がん協会札幌がん検診センター,北26条東14丁目1-15,748-5511,,,,,,,,○,,,,
社会医療法人社団カレスサッポロ  北光記念クリニック,北27条東8丁目1-15,722-1122,,,,,,,,,,,"○
要予約",
にしはら内科クリニック,北30条東1丁目4-1,721-2486,,,,,,,,○,,,,
医療法人社団  石田内科小児科医院,北30条東13丁目3-10,753-0380,○,○,○,○,○,○,○,○,○,○,○,○
医療法人徳洲会  札幌東徳洲会病院,北33条東14丁目3-1,722-1110,○,○,○,○,○,○,○,○,○,○,,○
社会福祉法人麦の子会  むぎのこ発達クリニック,北36条東10丁目2-7,753-6467,○,○,○,○,○,○,○,○,○,○,○,○
医療法人基仁会新道東おおた内科,北37条東15丁目1-24,748-1551,○,○,○,○,○,,,○,○,○,○,
石川内科クリニック,北38条東7丁目2-17  北栄ﾒﾃﾞｨｶﾙﾋﾞﾙ1階,752-7337,○,○,○,○,○,○,○,○,○,○,○,○
社会医療法人   耳鼻咽喉科麻生病院,北40条東1丁目1-7,731－4133,,,○,○,○,,,,○,,,
鈴木内科医院,北40条東3丁目2-17,751-4038,,,,,,,,○,,,,
みきファミリークリニック,北41条東7丁目3-12,299-6555,○,○,○,○,○,○,○,○,○,○,○,○
医療法人北海道家庭医療学センター栄町ファミリークリニック,北41条東15丁目1-18,723-8633,○,○,○,○,○,○,○,○,○,○,○,○
特定医療法人とこはる  東栄病院,北41条東16丁目3-14,782-0111,○,○,○,○,○,○,○,○,○,○,○,○
栄町レディースクリニック,北42条東16丁目1-1,783-1111,,,,,,,,○,,,,
医療法人社団  ちいろば子供クリニック,北42条東16丁目1-1  N42ﾒﾃﾞｨｶﾙﾋﾞﾙ4階,789-3888,○,○,○,○,○,○,○,○,○,○,○,○
栄町内科循環器内科クリニック,北42条東16丁目1-1N42ﾒﾃﾞｨｶﾙﾋﾞﾙ6階,789-2311,,,,,,,,,,,○,
医療法人社団  栄北小児科,北45条東1丁目3-20,731-1640,○,○,○,○,○,○,○,○,○,○,○,○
医療法人為久会  札幌共立医院,北48条東1丁目1-5,752-4101,,,,,,,,○,,,,
医療法人社団豊生会丘珠明陽医院,北丘珠3条1丁目21-20,781-1145,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団  北海道こども心療内科氏家医院,苗穂町3丁目2-37,711-3450,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団豊生会  東雁来すこやか内科・小児科クリニック,東雁来11条4丁目1-10,791-9991,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団豊生会  東苗穂病院,東苗穂3条1丁目2-18,784-1121,,,○,,,,,○,,"○
9歳以上",○,
医療法人社団  つかざき小児科,東苗穂4条1丁目14-101  成和ﾋﾞﾙ2階,781-2200,○,○,○,○,○,○,○,○,○,○,○,○
勤医協中央病院,東苗穂5条1丁目41番地,782-9111,,,,,,,,○,,,,
医療法人社団  ユーこどもクリニック,東苗穂7条2丁目2-25  C7ﾋﾞﾙ1階,785-4970,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団英仁会  札苗病院,東苗穂7条2丁目8-20,783-3311,,,,,,,,○,,,,
