定期の予防接種実施医療機関名簿,,,,,,,,,,,,,,
―北区―,,,,,,,,,,,,,,
※    受付時間、予約の必要性、ワクチンの在庫などについて、事前に医療機関にお問い合わせください。,,,,,,,,,,,,,,
※    ＢＣＧの予防接種は、各区の保健センターで実施しています。,,,,,,,,,,,,,,
※    麻しん、風しんの単独ワクチンを希望される方は、ＭＲの実施医療機関にお問い合わせください。,,,,,,,,,,,,,,
※    日本脳炎ワクチンは平成28年４月１日tiら接種開始です。,,,,,,,,,,,,,,
※    Ｂ型肝炎ワクチンは平成28年10月１日tiら接種開始です。,,,,,,,,,,,,,,
医    療    機    関    名,住                                  所,電話番号,四種混合,ポリオ,二種混合,"ＭＲ
（麻しん・風しん混合）",,ヒブ,小児用肺炎球菌,子宮頸がん予防,"水痘
（水ぼうそう）","日本脳炎
（15歳未満）","日本脳炎
（15歳以上）",Ｂ型肝炎
,,,"ジフテリア百日せき
破傷風･ポリオ",,ジフテリア破傷風,,,,,,,,,
,,,,,,第1期,第2期,,,,,,,
医療法人社団 めばえこどもクリニック,あいの里1条3丁目4-8,770-5160,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団 あいの里内科消化器科クリニック,あいの里1条6丁目 ｸﾘｰﾝﾘﾊﾞｰﾈｵｼﾃｨあいの里1階,778-7111,○,○,○,○,○,○,○,○,○,○,○,○
tiしま内科クリニック,あいの里2条3丁目16-7,778-7031,,,○,,,,,○,,,○,
北海道医療大学病院,あいの里2条5丁目,778-7575,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団 いけだクリニック,あいの里2条8丁目4-5,778-2721,○,○,○,○,○,○,○,○,○,○,○,○
鈴木外科循環器科クリニック,あいの里3条4丁目8-1,770-4730,,,○,○,○,,,,,,,
さっぽろ内科・リウマチ膠原病クリニック,北7条西2丁目20 東京建物札幌ﾋﾞﾙ3階,700-2000,○,,○,○,○,○,○,,○,○,○,
医療法人社団ﾓｱﾅ  エムズレディースクリニック,北7条西5丁目7-1 札幌北ｽｶｲﾋﾞﾙ5階,738-7777,,,,,,,,○,,,,
ウィミンズクリニック札幌,北7条西5丁目8-1 北7条ﾖｼﾔﾋﾞﾙ5階,738-7877,,,,,,,,○,,,○,○
公益財団法人結核予防会北海道支部 札幌複十字総合健診センター,北8条西3丁目28 札幌ｴﾙﾌﾟﾗｻﾞ5階,700-1331,,,,,,,,○,,,,
医療法人社団 札幌駅前アップルレディースクリニック,北8条西3丁目28 札幌ｴﾙﾌﾟﾗｻﾞ6階,736-8222,,,,,,,,○,,,○,
医療法人社団 佐藤診療所,北12条西2丁目,716-1637,,,○,○,○,,,○,,,,
医療法人明日葉会 札幌マタニティ･ウイメンズホスピタル,北13条西4丁目2-23,746-5505,○,○,,○,○,○,○,○,○,○,,○
北16条内科循環器クリニック,北16条西4丁目1-19,738-1212,,,,,,,,○,,,○,
なtiお内科循環器クリニック,北17条西3丁目2-1 1階,729-5510,,,,,,,,○,,,,
医療法人社団 北20条内科クリニック,北20条西6丁目2-10,758-8080,○,○,○,○,○,,,○,○,,○,○
リズミック産婦人科クリニック,北22条西5丁目1-32,700-0505,,,,,,,,○,,,,
医療法人社団和仁会 平田内科クリニック,北24条西14丁目3-15,756-2220,,,,,,,,○,,,,
くすのきこどもクリニック,北24条西14丁目3-8 北24条通ﾒﾃﾞｨｶﾙﾌﾟﾚｲｽ2階,717-0415,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団 さとう小児科医院,北25条西5丁目1-1,756-5007,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団眞明会 今医院,北25条西8丁目2-3,716-9255,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団 小林内科小児科医院,北28条西5丁目2-16,716-8531,○,○,○,○,○,○,○,○,○,○,○,○
しもtiわ内科・循環器内科,北29条西15丁目3-8,716-1300,,,,,,,,,,,○,
医療法人社団昇英会 整形外科新川駅いとtiクリニック,北29条西15丁目3-8,716-1117,,,,,,,,,,○,○,
医療法人社団慈Th会 小林内科クリニック,北38条西2丁目2-17,709-5885,○,○,○,○,○,○,○,○,○,○,○,○
西村外科胃腸科,北40条西4丁目2-1 麻Thﾒﾃﾞｨｶﾙﾋﾞﾙ2階,757-1560,,,,,,○,○,○,,,,
医療法人社団北耀会 あさぶ小児科,北40条西4丁目2-15 東光ｽﾄｱ麻Th店2階,717-3111,○,○,○,○,○,○,○,○,○,○,○,○
医療法人 しのろファミリークリニック,篠路2条10丁目12-1,771-2800,○,○,○,○,○,○,○,○,○,○,○,○
川島内科胃腸科,篠路2条3丁目5-10,773-8233,,,,,,,,○,,,○,
医療法人社団篠路こどもクリニック,篠路3条6丁目4-32,776-0776,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団健志会 しのろ駅前医院,篠路4条6丁目11-17,774-8388,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団大黒会 吉田医院,篠路5条5丁目7-1,771-2020,,,○,,,○,○,○,,,,
社会医療法人康和会 札幌しらtiば台篠路病院,篠路7条4丁目2-15,773-0711,,,,,,,,○,,,,
医療法人社団 五稜会病院,篠路9条6丁目2-3,771-5660,,,,,,,,○,,,,
横山内科医院,篠路10条2丁目11-22,771-1611,○,○,○,○,○,○,○,○,○,○,○,
医療法人社団 新川ファミリエ内科,新川3条7丁目1-10-1,763-8118,,,○,,○,,,○,,"○
小学生以",○,
医療法人ｱﾊﾟﾝﾄﾞ  みみ･はな･のど横浜クリニック,新川3条7丁目1-3,765-4580,,,,,,○,○,○,,○,○,
玄気堂漢方内科クリニック,新川4条1丁目3-3 ecoa新川クリニックモール2階,640-7740,,,,,,,,○,,,,
医療法人社団 中鉢小児クリニック,新川4条10丁目7-13,764-1118,○,○,○,○,○,○,○,,○,○,○,○
社会医療法人延山会 北成病院,新川西3条2丁目10-1,764-3021,,,,,,,,○,,,○,
医療法人社団 池田内科,新琴似1条13丁目1-7,764-8833,○,○,○,○,○,○,○,○,○,○,○,
医療法人社団   どい内科クリニック,新琴似1条3丁目3-13,769-1200,○,,○,,○,,,○,,"○
9歳以上",○,○
大沼内科クリニック,新琴似1条8丁目22-17,764-3110,○,○,○,○,○,○,○,○,○,○,○,○
飛騨内科クリニック,新琴似2条11丁目7-7,769-8002,,,○,○,○,○,○,○,,,,
医療法人社団 阿部内科医院,新琴似3条11丁目7-24,761-2395,○,○,○,○,○,○,○,○,○,○,○,○
医療法人研成会 札幌鈴木病院,新琴似3条1丁目1-27,709-5511,,,,,,,,,,,,
のびるこどもクリニック,新琴似5条2丁目1-9,766-2206,○,○,○,○,○,○,○,,○,○,○,○
医療法人社団 布施川内科医院,新琴似7条14丁目4-23,764-2411,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団 おおさき内科,新琴似7条9丁目6-21,766-0666,,,○,,,,,○,,,○,
医療法人社団 横山医院,新琴似8条13丁目1-4,761-2484,○,○,○,○,○,○,○,○,○,○,○,○
