定期の予防接種実施医療機関名簿,,,,,,,,,,,,,,
―南区―,,,,,,,,,,,,,,
※    受付時間、予約の必要性、ワクチンの在庫などについて、事前に医療機関にお問い合わせください。,,,,,,,,,,,,,,
※    ＢＣＧの予防接種は、各区の保健センターで実施しています。,,,,,,,,,,,,,,
※    麻しん、風しんの単独ワクチンを希望される方は、ＭＲの実施医療機関にお問い合わせください。,,,,,,,,,,,,,,
※    日本脳炎ワクチンは平成28年４月１日tiら接種開始です。,,,,,,,,,,,,,,
※    Ｂ型肝炎ワクチンは平成28年10月１日tiら接種開始です。,,,,,,,,,,,,,,
医    療    機    関    名,住                             所,電話番号,四種混合,ポリオ,二種混合,"ＭＲ
（麻しん・風しん混合）",,ヒブ,小児用肺炎球菌,子宮頸がん予防,"水痘
（水ぼうそう）","日本脳炎
（15歳未満）","日本脳炎
（15歳以上）",Ｂ型肝炎
,,,"ジフテリア百日せき
破傷風･ポリオ",,ジフテリア破傷風,,,,,,,,,
,,,,,,第1期,第2期,,,,,,,
医療法人社団延寿会  阿部内科クリニック,石山1条7丁目7-7,592-0077,,,,,,,,,○,,○,
医療法人社団信洋会 石山メンタルクリニック,石山2条8丁目2-12,591-7167,,,○,,,,,,,,,
医療法人社団 竹嶋内科クリニック,石山東1丁目4-26,591-1112,,,○,,,,,,,,,
医療法人社団 芸術の森泌尿器科,石山東3丁目1-31,591-8686,,,,,,,,,,,,○
医療法人社団 もいわ内科医院,川沿1条3丁目3-25,571-5561,○,○,○,○,○,○,○,○,○,○,○,○
医療法人為久会  札幌共立五輪橋病院,川沿2条1丁目2-54,571-8221,,,,,,,,,○,,○,
医療法人社団もなみ もなみクリニック,川沿5条3丁目2-1,578-5775,,,,,,,,○,,,,
医療法人社団 川沿中央医院,川沿5条3丁目2-3,571-7821,,,,,,○,○,○,○,,○,○
ほりえ内科クリニック,川沿8条2丁目1-8 吉田ﾋﾞﾙ1階,571-6532,,,○,,,,,○,○,○,○,○
おおさわ小児科医院,川沿8条2丁目1-8 吉田ﾋﾞﾙ3階,571-5001,○,○,○,○,○,○,○,○,○,○,○,○
なtiの内科・消化器内科クリニック,川沿14条2丁目1-3,571-0725,,,,,,,,○,,,,
あまみや小児科医院,澄川3条2丁目4-15 澄川ﾒﾃﾞｨｶﾙ1F,831-5300,○,○,○,○,○,○,○,○,○,○,,○
酒井内科消化器科クリニック,澄川3条3丁目4-12,831-0820,,,○,○,○,,,○,,,,
医療法人一光会 幸内科クリニック,澄川4条6丁目7-35,837-7320,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団千寿会 千秋内科医院,澄川6条4丁目11-7,812-8111,○,○,○,○,○,○,○,○,○,○,○,○
たむら内科クリニック,澄川6条7丁目3-5,583-1161,○,○,○,○,○,,,,○,,,
医療法人社団 はまだ内科･神経内科クリニック,中ノ沢1丁目1-4,578-1535,,,○,○,○,○,○,○,○,○,○,
ふじのさわ内科クリニック,藤野2条2丁目1-15,591-8416,,,,,,,,○,,,,
十五島内科医院,藤野2条6丁目1-5,591-8828,,,,,,,,○,,,,
社会医療法人康和会 札幌しらtiば台南病院,藤野2条11丁目7-1,596-2621,,,,,,,,○,,,○,
医療法人大地 小笠原クリニック藤野診療所,藤野3条6丁目2-1ｺｰﾌﾟさっぽろ藤野店2階,592-5335,,,,,,,,,,,○,
医療法人社団 板倉小児クリニック,藤野3条7丁目1-1,591-0611,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団FOUR SEASONS 真駒内たtiの内科,真駒内泉町3丁目11-9,588-8777,,,,,,,,○,,,,
医療法人社団 真駒内キッズクリニック,真駒内上町1丁目1-25 ｸﾞﾘｰﾝﾌﾟﾗｻﾞ真駒内公園ﾋﾞﾙ1階,582-8884,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団 阿部小児科医院,真駒内緑町1丁目3-10,582-0512,○,○,○,○,○,○,○,○,○,○,○,○
露口内科･消化器内科クリニック,真駒内南町1丁目7-12,582-0811,,,○,,○,○,○,○,,,○,○
中根敏得リハビリテーション内科小児科医院,南32条西10丁目2-1,582-3131,〇,,○,○,○,,,,○,,,
医療法人礼風会 五輪橋マタニティクリニック,南39条西11丁目1-30,585-3110,○,○,○,○,○,○,○,○,○,○,○,○
