定期の予防接種実施医療機関名簿,,,,,,,,,,,,,,
―西区―,,,,,,,,,,,,,,
※    受付時間、予約の必要性、ワクチンの在庫などについて、事前に医療機関にお問い合わせください。,,,,,,,,,,,,,,
※    ＢＣＧの予防接種は、各区の保健センターで実施しています。,,,,,,,,,,,,,,
※    麻しん、風しんの単独ワクチンを希望される方は、ＭＲの実施医療機関にお問い合わせください。,,,,,,,,,,,,,,
※    日本脳炎ワクチンは平成28年４月１日tiら接種開始です。,,,,,,,,,,,,,,
※    Ｂ型肝炎ワクチンは平成28年10月１日tiら接種開始です。,,,,,,,,,,,,,,
医    療    機    関    名,住                             所,電話番号,四種混合,ポリオ,二種混合,"ＭＲ
（麻しん・風しん混合）",,ヒブ,小児用肺炎球菌,子宮頸がん予防,"水痘
（水ぼうそう）","日本脳炎
（15歳未満）","日本脳炎
（15歳以上）",Ｂ型肝炎
,,,"ジフテリア百日せき
破傷風･ポリオ",,ジフテリア破傷風,,,,,,,,,
,,,,,,第1期,第2期,,,,,,,
中村小児科医院,琴似1条2丁目5-6 琴似一番館,642-1650,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団 森谷内科クリニック,琴似1条4丁目2-20,643-6533,,,,,,,,○,,,○,
まきぐち内科･循環器科クリニック,琴似1条4丁目4-20 笹川ﾋﾞﾙ3階,618-1333,,,,,,,,○,,,,
医療法人社団慈昂会 琴似駅前内科クリニック,琴似2条1丁目1-20 琴似ﾀﾜｰﾌﾟﾗｻﾞ2階,622-3531,,,,,,,,○,,,○,
医療法人社団 ともこレディースクリニック,琴似2条1丁目1-20 琴似ﾀﾜｰﾌﾟﾗｻﾞ2階,641-8181,,,,,,,,○,,,,
医療法人社団 琴似産科婦人科クリニック,琴似2条3丁目2-30,612-5611,,,,,,,,○,,,,
医療法人社団 琴似小児科クリニック,琴似2条3丁目2-30,641-7551,○,○,○,○,○,○,○,○,○,○,○,○
ことに内科クリニック,琴似2条4丁目2-1,633-1717,,,,,,,,○,,,,
医療法人社団 坂本医院,琴似2条4丁目3-10,621-0808,,,,,,,,○,,,,
おおた内科クリニック,琴似2条5丁目1-3 北幸ビル2階,643-5311,,,,,,,,,,,○,
医療法人社団友善会 琴似ファミリークリニック,琴似4条2丁目1番2号  コルテナⅡ  1階,612-0333,,,,,,,,,,"○
要予約",○,
医療法人社団 北浜胃腸科･内科,西野2条4丁目3-15,663-3311,,,○,,,,,,,,○,
医療法人社団杏仁会 近内科クリニック,西野3条2丁目1-38,664-3611,○,○,○,○,○,○,○,,○,○,○,○
医療法人社団 細田こどもクリニック,西野3条6丁目2-7,667-8830,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団 石塚内科消化器科,西野3条7丁目3-1,661-0403,○,○,○,○,○,○,○,○,○,○,○,
医療法人社団 後藤田医院,西野3条9丁目10-37,663-8170,○,○,○,○,○,○,○,○,○,○,○,○
医療法人にしの内科クリニック,西野5条2丁目8-37,788-6726,,,○,,,,,,,,○,
医療法人社団 西野六条クリニック,西野6条7丁目1-1,663-3651,,,○,,,,,○,,○,○,
医療法人社団法真会 ひしtiわ内科クリニック,西野8条8丁目1-1,667-3336,○,○,○,○,○,○,○,○,○,○,○,
医療法人社団啓愛会 西さっぽろ小児科,西町北7丁目2-11 西さっぽろﾒﾃﾞｨｶﾙ2階,661-4211,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団糖仁会 あべ内科クリニック,西町北7丁目2-11 西さっぽろﾒﾃﾞｨｶﾙ3階,666-7301,,,,,,,,○,,,,
医療法人社団 札幌西レディースクリニック,西町北11丁目1-5,661-3535,,,,,,,,○,,,,
勤医協西区ひだまりクリニック,西町北19丁目1-3,671-5115,,,,,,,,,,,○,
医療法人社団 宮の沢レディースクリニック,西町北20丁目2-12 SR宮の沢ﾒﾃﾞｨｶﾙⅡﾋﾞﾙ2階,666-0050,,,,,,,,○,,,,
医療法人社団 松永内科クリニック,西町北20丁目3-10 SR宮の沢ﾒﾃﾞｨｶﾙﾋﾞﾙ3階,669-3666,,,,,,,,○,,,○,
医療法人 宮の沢小池こどもクリニック,西町北20丁目3-10 SR宮の沢ﾒﾃﾞｨｶﾙﾋﾞﾙ3階,669-5551,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団 小児科西町クリニック,西町南5丁目13,663-3223,○,○,○,○,○,○,○,○,○,○,○,○
藤屋医院,二十四軒3条5丁目4-28,621-7260,,,,,,,,○,,,,
琴似ハート内科・透析クリニック,二十四軒4条2丁目9-10,688-8810,,,,,,,,,○,,,
社会医療法人孝仁会 札幌第一病院,二十四軒4条3丁目4-26,611-6201,,,,,,,,,,,○,
医療法人新産健会 ことに･メディカル･サポート･クリニック,八軒1条西1丁目2-10 ｻﾞ･ﾀﾜｰﾌﾟﾚｲｽ1階,631-3101,,,○,,,,,○,,,○,
医療法人親和 すずらん小児科,八軒1条西1丁目2-10 ｻﾞ･ﾀﾜｰﾌﾟﾚｲｽ1階,633-8088,○,○,○,○,○,○,○,○,○,○,○,○
洞田内科クリニック,八軒1条西1丁目2-10 ｻﾞ･ﾀﾜｰﾌﾟﾚｲｽ2階,632-0255,,,,,,,,○,,,,
医療法人社団明Th会 イムス札幌消化器中央総合病院,八軒2条西1丁目1-1,611-1391,,,,,,,,,,,,○
医療法人社団 カワカミウイメンズクリニック,八軒5条東1丁目6-19,641-6507,,,,,,,,○,,,,
つちだ消化器循環器内科,八軒7条西3丁目1-1,640-5532,○,○,○,○,○,○,○,○,○,○,○,○
ゆきのtiなでクリニック,八軒10条西12丁目4-8,213-9351,,,,,,,,,,,,○
医療法人札幌tiんﾌｫﾚｽﾄ 癒しの森内科・消化器内科クリニック,発寒2条5丁目6-5,668-1184,,,,,,,,○,,,,
医療法人社団 いとう内科･胃腸科,発寒4条4丁目1-18,661-1000,,,,,,,,○,,,,
医療法人聖愛会 発寒中央病院,発寒5条6丁目10-1,661-2111,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団 はねだ内科クリニック,発寒6条3丁目2-10,666-2227,,,,,,○,○,○,,○,○,
内科･消化器内科 Ｋクリニック,発寒6条9丁目2-15 ニッセ宮の沢2階,667-7007,,,,,,,,,,,○,
医療法人社団 いなべ医院,発寒6条11丁目7-18,662-1389,○,○,○,○,○,○,○,,○,,,
医療法人社団宮の沢総合クリニック,発寒6条13丁目1-22,671-7710,,,,,,,,○,,,,
tiなや内科クリニック,発寒7条12丁目3-46 発寒クリニックビル1F,669-6000,,,,,,,,,,,○,
医療法人社団 ふるた小児科クリニック,発寒11条1丁目10-75,671-1188,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団 鉄工団地診療所,発寒12条5丁目3-20,661-1261,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団 太田内科歯科,発寒13条3丁目7-45,664-6780,,,,,,,,○,,,,
医療法人社団 百石内科循環器クリニック,福井2丁目3-16,663-3885,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団 首藤内科,平和1条4丁目1-7,664-3737,,,,,,○,○,○,,,,○
