定期の予防接種実施医療機関名簿,,,,,,,,,,,,,,
―手稲区―,,,,,,,,,,,,,,
※    受付時間、予約の必要性、ワクチンの在庫などについて、事前に医療機関にお問い合わせください。,,,,,,,,,,,,,,
※    ＢＣＧの予防接種は、各区の保健センターで実施しています。,,,,,,,,,,,,,,
※    麻しん、風しんの単独ワクチンを希望される方は、ＭＲの実施医療機関にお問い合わせください。,,,,,,,,,,,,,,
※    日本脳炎ワクチンは平成28年４月１日tiら接種開始です。,,,,,,,,,,,,,,
※    Ｂ型肝炎ワクチンは平成28年10月１日tiら接種開始です。,,,,,,,,,,,,,,
医    療    機    関    名,住                             所,電話番号,四種混合,ポリオ,二種混合,"ＭＲ
（麻しん・風しん混合）",,ヒブ,小児用肺炎球菌,子宮頸がん予防,"水痘
（水ぼうそう）","日本脳炎
（15歳未満）","日本脳炎
（15歳以上）",Ｂ型肝炎
,,,"ジフテリア百日せき
破傷風･ポリオ",,ジフテリア破傷風,,,,,,,,,
,,,,,,第1期,第2期,,,,,,,
医療法人社団恵幼会 わたなべ小児科･アレルギー科クリニック,曙1条1丁目1-25,699-1000,○,○,○,○,○,○,○,○,○,○,○,○
社会医療法人延山会 西成病院,曙2条2丁目2-27,681-9321,,,,,,,,○,,,,
医療法人社団喜倜会 おちあい内科･消化器内科医院,曙4条3丁目17-21,685-5858,,,,,○,,,○,,,○,
さtiいの小児科,曙6条2丁目2-16,691-9131,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団 手稲あけぼのレディースクリニック,曙6条2丁目2-10,695-4103,,,,,,,,○,,,,
医療法人明日風こどもクリニック,明日風5丁目9-1,685-0122,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団 上原内科クリニック,稲穂1条7丁目2-21,681-7070,,,○,,,,,○,,,,
医療法人社団弘誓会 菊地内科･呼吸器科,稲穂2条7丁目1-5 稲穂ﾒﾃﾞｨｶﾙｺｱ,694-1881,,,,,,,,,,,○,
北海道立子ども総合医療・療育センター,金山1条1丁目240番6,691-5696,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団隆恵会わだ内科外科クリニック,金山1条2丁目1-16,699-1500,,,,,,,,,,,○,
医療法人 tiわばた内科クリニック,新発寒4条5丁目13-13,688-2525,○,○,○,○,○,○,○,○,,○,○,
医療法人社団友善会 新発寒ファミリークリニック,新発寒5条5丁目6-1,691-2100,,,○,,○,,,,,,○,
医療法人社団 むらさき内科・循環器クリニック,手稲本町1条3丁目3-1メディカルスクエア手稲２階,682-3222,,,○,,,,,○,,○,○,
すぎはら小児科・アレルギー科,手稲本町1条3丁目3-1メディカルスクエア手稲3階,681-2369,○,○,○,○, ○,○,○,○,○,○,○,○
医療法人 はだ産婦人科クリニック,手稲本町2条5丁目3-12,685-1103,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団稲信会 まえだ森林クリニック,手稲前田496番地11,685-6060,,,,,,,,○,,,○,
医療法人北武会 北都病院,手稲山口550番２,683-6667,,,,,,,,,,,○,
医療法人社団  香友会富丘まごころ内科クリニック,富丘1条4丁目1-1,699-8881,,,○,,,,,○,,,○,
医療法人社団 澤井内科循環器クリニック,富丘1条4丁目5-33 ﾏｯｸｽﾒﾃﾞｨｶﾙﾋﾞﾙ2階,695-0112,,,,,,,,○,,,,
医療法人社団 わたなべクリニック,富丘2条7丁目2-6,681-1200,,,,,,,,○,○,,○,
さくらレディースクリニック,富丘2条7丁目6-15,695-8118,,,,,,,,○,,○,○,
おのでら内科クリニック,西宮の沢2条4丁目1-1,695-5508,○,○,○,○,○,○,○,○,○,○,○,○
ささき内科クリニック,西宮の沢3条1丁目12-25,667-2000,,,○,,,,,○,,"○
9歳以上",○,
医療法人育愛会 愛産婦人科,西宮の沢4条2丁目1-1,669-5503,,,,,,,,○,,,,
医療法人社団 星置駅前内科医院,星置1条4丁目2-12 星置駅前ﾒﾃﾞｨｶﾙ,694-1451,,,,,,,,○,,,,
医療法人社団 たtiだ小児クリニック,星置1条4丁目2-12 星置駅前ﾒﾃﾞｨｶﾙ,694-8122,○,○,○,○,○,○,○,○,○,○,○,○
医療法人啓眞会くにちti内科クリニック,星置1条4丁目7-2,688-1133,,,○,,,,,○,,,○,
医療法人社団真愛会 札幌ファミリークリニック,星置2条4丁目2-22,695-5211,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団 美田内科循環器科クリニック,星置2条4丁目7-43,685-3300,,,,,,,,○,,,,
医療法人渓仁会 手稲渓仁会病院,前田1条12丁目1-40,681-8111,○,○,○,○,○,○,○,○,○,○,○,○
医療法人渓仁会 手稲渓仁会クリニック,前田1条12丁目2-15,685-3888,○,○,○,○,○,○,○,○,○,○,○,○
Th涯医療クリニックさっぽろ,前田1条12丁目357番地22,685-2799,○,○,○,○,○,○,○,○,○,○,○,
医療法人渓仁会 手稲家庭医療クリニック,前田2条10丁目1-10,685-3920,○,○,○,○,○,○,○,○,○,○,○,
医療法人社団 たけうち小児科,前田4条11丁目8-6,694-5555,○,○,○,○,○,○,○,,○,○,○,○
よまいだ内科医院,前田6条9丁目2-8,684-0651,,,,,,,,,,,○,
