定期の予防接種実施医療機関名簿,,,,,,,,,,,,,,
―豊平区―,,,,,,,,,,,,,,
※    受付時間、予約の必要性、ワクチンの在庫などについて、事前に医療機関にお問い合わせください。,,,,,,,,,,,,,,
※    ＢＣＧの予防接種は、各区の保健センターで実施しています。,,,,,,,,,,,,,,
※    麻しん、風しんの単独ワクチンを希望される方は、ＭＲの実施医療機関にお問い合わせください。,,,,,,,,,,,,,,
※    日本脳炎ワクチンは平成28年４月１日tiら接種開始です。,,,,,,,,,,,,,,
※    Ｂ型肝炎ワクチンは平成28年10月１日tiら接種開始です。,,,,,,,,,,,,,,
医    療    機    関    名,住                             所,電話番号,四種混合,ポリオ,二種混合,"ＭＲ
（麻しん・風しん混合）",,ヒブ,小児用肺炎球菌,子宮頸がん予防,"水痘
（水ぼうそう）","日本脳炎
（15歳未満）","日本脳炎
（15歳以上）",Ｂ型肝炎
,,,"ジフテリア百日せき
破傷風･ポリオ",,ジフテリア破傷風,,,,,,,,,
,,,,,,第1期,第2期,,,,,,,
旭町医院,旭町3丁目2-36,811-0345,,,○,,,,,,,,,
勤医協月寒ファミリークリニック,月寒中央通4丁目1-15,851-0229,○,○,○,○,○,○,○,○,○,○,○,○
月寒こどもクリニック,月寒中央通7丁目6-20 JA月寒中央ﾋﾞﾙ5階,856-9181,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団豊水会たねいちリウマチクリニック,月寒中央通8丁目4-7,853-7307,,,,,,,,○,,,,
医療法人社団札幌朗愛会  札幌朗愛会病院,月寒西1条10丁目3-30,853-2111,,,,,,○,○,○,,,,
医療法人社団 川村小児科医院,月寒西2条10丁目2-75,853-2888,○,○,○,○,○,○,○,○,○,○,○,○
はせtiわ内科クリニック,月寒西4条10丁目7-17,851-0610,,○,○,,,,,,○,○,○,○
月寒のぶおti内科消化器内科,月寒東1条4丁目3-8,859-7701,,,,,,,,○,,"○
13歳以上",○,
医療法人社団ｸﾞﾛﾘｱ会 月寒グロリアクリニック,月寒東3条16丁目3-8,854-4103,,,,,,,,○,,,,
医療法人社団のえる小児科,月寒東3条17丁目1-20,858-0505,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団 北野通内科循環器クリニック,月寒東3条18丁目22-20,853-8800,,,,,,,,○,,,○,
なんば内科循環器クリニック,月寒東4条7丁目8-28,859-8800,,,,,,,,○,,,,
神田産科婦人科クリニック,豊平3条1丁目1-33,841-1103,,,,,,,,○,,,,
医療法人社団 とよひら公園内科クリニック,豊平4条11丁目3-5,811-1518,,,○,,○,○,○,○,○,"○
3歳以上",○,
医療法人社団 豊平おおたこどもクリニック,豊平4条3丁目3-10 豊平ﾒﾃﾞｨｶﾙﾌﾟﾗｻﾞ1階,815-2525,○,○,○,○,○,○,○,○,○,○,○,○
たけだ内科胃腸科クリニック,豊平4条3丁目3-10 豊平ﾒﾃﾞｨｶﾙﾌﾟﾗｻﾞ1階,823-1100,,,○,,○,,,○,,,,
三浦内科循環器クリニック,豊平6条2丁目2-12,821-5726,,,,,,,,,,,○,
医療法人北志会 札幌ライラック病院,豊平6条8丁目2-18,812-8822,,,,,,,,○,,,,
医療法人おひげせんせいのこどもクリニック,豊平7条10丁目3-18,820-1061,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団醫王会 緑の街診療所,豊平7条13丁目1-1,825-9912,,,,,,,,,,○,○,
中の島せつこ内科クリニック,中の島1条2丁目3-15,820-3900,,,,,,,,○,,,,
独立行政法人  地域医療機能推進機構  北海道病院,中の島1条8丁目3-18,831-5151,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団恵山会 中の島内科･消化器内科クリニック,中の島2条2丁目1-1 中の島ｽﾃｰｼｮﾝﾋﾞﾙ2階,821-3113,,,,,,,,○,,,,
中の島診療所,中の島2条2丁目2-1,831-2387,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団 中里内科胃腸科クリニック,中の島2条5丁目9-1 石丸ﾒﾃﾞｨｶﾙﾋﾞﾙ2階,815-8833,,,,,,,,○,,,,
松本内科クリニック,西岡4条1丁目5-1,852-1353,,,,,,,,○,,,,
医療法人社団 西岡こどもクリニック,西岡4条4丁目1-1 西岡ﾒﾃﾞｨｶﾙﾋﾞﾙ2階,855-0770,○,○,○,○,○,○,○,○,○,○,○,○
社会医療法人恵和会 西岡病院,西岡4条4丁目1-52,853-8322,,,,,,,,○,,,○,
医療法人社団ごとう内科クリニック,西岡4条7丁目7-1,858-7771,,,○,,,,,○,,,,
社会医療法人恵和会 西岡水源池通りクリニック,西岡4条13丁目17-1,584-5512,,,,,,,,○,,,○,
ＫＫＲ札幌医療センター,平岸1条6丁目3-40,822-1811,○,○,○,○,○,○,○,○,○,○,,○
医療法人 たんぽぽ小児科,平岸1条15丁目3-12,876-0383,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団恒仁会  南さっぽろ小児科,平岸1条22丁目2-15,820-8222,○,○,○,○,○,○,○,○,○,○,○,○
小笠原医院,平岸2条5丁目1-12 ﾔﾅｷﾞﾀﾞﾋﾞﾙ1階,812-1788,○,○,○,○,○,○,○,○,○,○,○,○
やなづめ小児科・アレルギー科クリニック,平岸2条7丁目3-1アルファビルⅣ2階,595-8341,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団 やなづめ内科・循環器クリニック,平岸2条8丁目4-17,822-1271,○,○,○,○,○,○,○,○,○,,○,
北郷内科医院,平岸2条10丁目22-2,812-2864,,,○,○,○,,,○,,○,○,
まつぞの小児科医院,平岸2条12丁目3-12,822-5000,○,○,○,○,○,○,○,○,○,○,○,○
髙木内科医院,平岸2条14丁目1-22 今崎ﾒﾃﾞｨｶﾙﾋﾞﾙ4階,812-1200,,,,,,,,○,,,,○
医療法人社団 平岸本町内科クリニック,平岸3条6丁目1-36,822-6672,,,○,○,○,,,○,,,,
医療法人社団敬愛会 わtiばやし内科クリニック,平岸3条6丁目6-24,841-3288,,,,,,,,○,,,,
医療法人社団いちご会 美加レディースクリニック,平岸3条13丁目5-21 南平岸ﾋﾞﾙ2階,833-7773,,,,,,,,○,,,,
医療法人社団 いし胃腸科内科医院,平岸3条14丁目1-5,813-1220,,,,,,,,○,,,,
医療法人社団根本耳鼻咽喉科クリニック,平岸4条14丁目2－3,815－3387,,,○,○,○,○,○,○,○,,,
医療法人社団 古山小児科内科医院,平岸5条6丁目4-5,811-5417,○,○,○,○,○,○,○,○,○,○,○,○
医療法人社団 あいだクリニック循環器内科,平岸5条7丁目8-22,820-1400,,,,,,,,○,,,,
医療法人社団 ふなはし内科消化器科クリニック,平岸5条8丁目3-15,831-1375,○,○,○,○,○,○,○,○,○,,,
平岸脳神経クリニック,平岸5条13丁目4-3,818-0055,,,,,,,,,,,○,
医療法人社団 七武会 内科･胃腸内科平岸台クリニック,平岸7条14丁目1-38 金岡ﾒﾃﾞｨｶﾙﾋﾞﾙ1階,811-3434,,,,,,,,○,,,,
医療法人社団慈昂会 福住内科クリニック,福住2条1丁目2-5 ｲﾄｰﾖｰｶﾄﾞｰ福住5階,836-3531,,,,,,,,○,,,○,
